date,open,high,close,low,volume,amount
2009-03-11,3422.257,3430.748,3328.485,3316.178,501000992,5706728960
2009-03-12,3313.111,3333.861,3326.025,3231.136,474107328,5399271424
2009-03-13,3334.9040000000005,3389.3340000000003,3330.04,3318.045,470891648,5638560256
2009-03-16,3315.454,3367.28,3364.475,3293.515,359873024,4338018304
2009-03-17,3370.7009999999996,3495.672,3484.185,3359.316,631562880,7657673728
2009-03-18,3506.515,3582.487,3525.9,3502.123,791453632,9516372992
2009-03-19,3534.1409999999996,3594.929,3594.929,3530.593,675440192,8459482112
2009-03-20,3602.324,3611.077,3588.388,3515.728,705586688,8842567680
2009-03-23,3589.305,3662.76,3655.086,3582.665,781792512,10048566272
2009-03-24,3688.3790000000004,3701.893,3681.4570000000003,3645.006,765793344,10005772288
2009-03-25,3666.6820000000002,3696.324,3609.1820000000002,3608.915,662468544,8788269056
2009-03-26,3600.593,3684.2459999999996,3681.9990000000003,3549.035,653587200,8198219264
2009-03-27,3719.775,3761.5229999999997,3712.679,3690.434,823094272,10865187840
2009-03-30,3714.4320000000002,3739.613,3707.19,3684.782,717540800,9266025472
2009-03-31,3649.2729999999997,3747.492,3747.492,3629.612,661433856,8739244032
2009-04-01,3764.395,3840.9429999999998,3816.4359999999997,3764.395,885620032,11891269632
2009-04-02,3832.205,3931.446,3882.3070000000002,3832.153,916366016,13062608896
2009-04-03,3905.8979999999997,3927.3320000000003,3868.745,3839.192,862948736,12420254720
2009-04-07,3879.018,3910.5959999999995,3890.155,3839.472,640932096,9428474880
2009-04-08,3879.776,3894.6809999999996,3777.348,3777.348,721850560,10163452928
2009-04-09,3766.3070000000002,3829.828,3829.828,3722.968,607900032,8657382400
2009-04-10,3852.828,3975.5679999999998,3973.5840000000003,3849.263,855012288,12664662016
2009-04-13,4020.033,4075.724,4062.184,4020.033,868853312,13093259264
2009-04-14,4071.145,4134.034000000001,4126.036,4041.153,875743936,13178568704
2009-04-15,4105.95,4157.028,4146.210999999999,4065.2690000000002,888368000,14024865792
2009-04-16,4152.9259999999995,4184.077,4144.936,4079.045,876338624,12646453248
2009-04-17,4139.232,4154.292,4081.76,4039.034,876682112,12534547456
2009-04-20,4068.9359999999997,4196.897,4196.897,4068.785,702614016,9848303616
2009-04-21,4165.914000000001,4236.962,4196.679,4129.285,802464256,11214531584
2009-04-22,4217.089,4235.417,4000.699,3953.673,904511104,12900064256
2009-04-23,3961.4570000000003,4046.205,4024.7270000000003,3922.512,634372928,8825693184
2009-04-24,4037.366,4090.755,4039.2090000000003,4004.571,663670976,9318857728
2009-04-27,4038.409,4038.5820000000003,3889.426,3869.789,604865792,8748009472
2009-04-28,3856.428,3913.9970000000003,3900.381,3838.093,521907968,7720005632
2009-04-29,3899.6009999999997,3996.093,3982.051,3888.922,615572928,8710892544
2009-04-30,3994.5959999999995,4045.595,4030.3959999999997,3992.39,622146304,8499585536
2009-05-04,4048.2140000000004,4148.548,4147.893,4048.2140000000004,688058752,9899313152
2009-05-05,4187.0070000000005,4212.939,4175.751,4157.162,749679936,10854951936
2009-05-06,4173.984,4274.564,4274.564,4161.393,807010304,12192408576
2009-05-07,4309.407,4319.251,4253.008,4183.321,883823936,13508658176
2009-05-08,4221.525,4235.308,4204.582,4125.73,719510272,10491096064
2009-05-11,4223.534000000001,4232.534000000001,4051.4,4051.4,745330816,10799303680
2009-05-12,4029.593,4135.019,4135.019,4019.284,475256352,6943975424
2009-05-13,4148.717000000001,4211.854,4195.349,4142.259,664107200,9916262400
2009-05-14,4170.609,4193.152,4187.925,4138.284000000001,598159744,8836880384
2009-05-15,4196.458,4245.042,4229.919,4187.802,544110720,8542315008
2009-05-18,4224.325,4247.476,4243.3240000000005,4156.298,507994368,8021004800
2009-05-19,4268.042,4288.75,4266.124,4243.93,696887168,10601672704
2009-05-20,4274.772,4318.697,4270.2429999999995,4261.374,677926208,10454376448
2009-05-21,4248.649,4269.855,4192.179,4158.543,661027264,10326284288
2009-05-22,4187.177,4224.018,4175.683,4154.442,595435136,9507769344
2009-05-25,4089.9790000000003,4209.163,4200.467000000001,4057.925,687222976,10738396160
2009-05-26,4205.044,4282.347,4211.779,4205.044,700860288,11237510144
2009-05-27,4223.531,4238.68,4209.59,4176.677,501420384,7674744832
2009-06-01,4239.622,4278.554,4269.227,4230.777,595147072,9684051968
2009-06-02,4284.8009999999995,4306.898,4279.9220000000005,4265.957,711165440,11023011840
2009-06-03,4283.076,4300.641,4290.504,4267.1720000000005,705921920,11024312320
2009-06-04,4285.512,4311.295999999999,4279.710999999999,4233.026,756450688,11846234112
2009-06-05,4297.129,4313.657,4271.272,4259.9220000000005,666150208,11189996544
2009-06-08,4273.745,4280.84,4223.223,4200.396,600837504,9950470144
2009-06-09,4215.609,4272.207,4271.12,4161.2429999999995,590375360,9458050048
2009-06-10,4271.8820000000005,4330.971,4321.752,4262.748,569744896,8757721088
2009-06-11,4320.244000000001,4352.11,4304.545,4289.111,535468480,8007203328
2009-06-12,4302.339,4321.936,4215.795,4188.293,564246336,8712983552
2009-06-15,4205.064,4298.501,4298.501,4205.064,509516576,7396110336
2009-06-16,4265.621,4329.27,4305.752,4247.634,484861760,7567617536
2009-06-17,4302.767,4353.799,4345.893,4275.633,570039424,9405019136
2009-06-18,4350.769,4398.693,4385.016,4343.94,657821376,11051254784
2009-06-19,4389.979,4395.090999999999,4347.792,4336.474,682834560,11456200704
2009-06-22,4363.258,4379.415,4335.144,4322.5509999999995,681621440,11168722944
2009-06-23,4284.715999999999,4342.581,4307.73,4265.458,551961984,8207565824
2009-06-24,4310.34,4369.477,4367.875,4300.282,579459200,9761352704
2009-06-25,4381.151,4392.156,4370.524,4347.43,591185216,9566905344
2009-06-26,4383.601,4396.26,4367.504,4349.201,500233888,7510856192
2009-06-29,4372.51,4385.258,4370.523,4355.585999999999,549783424,8602549248
2009-06-30,4375.64,4390.165,4363.723,4347.813,617611456,10156998656
2009-07-01,4353.762,4398.169,4398.169,4346.552,638468096,10590054400
2009-07-02,4412.121,4450.1140000000005,4450.1140000000005,4405.765,716863424,12947565568
2009-07-03,4435.8859999999995,4455.419,4446.811,4409.581,662168448,11837513728
2009-07-06,4458.159000000001,4462.274,4441.082,4412.531,685705792,11146443776
2009-07-07,4434.05,4480.615,4458.18,4428.295,723278720,11602224128
2009-07-08,4436.818,4501.811,4492.075,4431.08,653222144,10580273152
2009-07-09,4502.962,4601.673,4597.003,4484.679,819376640,13966575616
2009-07-10,4609.372,4628.558,4596.205,4580.5109999999995,776004416,12877336576
2009-07-13,4589.079000000001,4653.537,4630.116,4576.108,804062272,13508125696
2009-07-14,4645.814,4708.334,4708.334,4637.456,769518848,13088198656
2009-07-15,4712.6759999999995,4717.840999999999,4707.915,4682.774,839018624,14060830720
2009-07-16,4728.170999999999,4734.109,4679.308,4663.431,919163008,15666174976
2009-07-17,4670.304,4700.428,4688.121,4642.516,735203904,12421284864
2009-07-20,4702.495,4793.683,4793.683,4693.62,1047152448,17483976704
2009-07-21,4795.991,4795.991,4649.765,4643.418,892050112,14753236992
2009-07-22,4646.692,4719.269,4710.944,4646.692,801507648,13276490752
2009-07-23,4723.907,4729.196,4729.196,4693.674,782995520,12702168064
2009-07-24,4742.2429999999995,4752.299,4678.208,4614.2609999999995,785090176,13013177344
2009-07-27,4688.082,4765.527,4765.527,4685.093,845391616,14770113536
2009-07-28,4781.072,4877.305,4876.562,4756.497,1175167488,21467201536
2009-07-29,4857.163,4873.957,4587.202,4490.906,1085353690,18568061332
2009-07-30,4600.675,4664.066,4642.83,4503.714,862180224,14472544256
2009-07-31,4682.182,4773.862,4766.899,4654.972,847962240,14800548864
2009-08-03,4792.338,4851.627,4847.931,4754.589,996055232,16729916416
2009-08-04,4851.098,4913.073,4913.073,4805.499,1061492928,18303891456
2009-08-05,4917.878,5005.858,4956.867,4875.509,1084387840,19316899840
2009-08-06,4918.323,5018.119000000001,4929.880999999999,4859.9220000000005,1061680768,18702239744
2009-08-07,4921.212,4959.569,4768.951,4759.339,834358016,14400756736
2009-08-10,4824.838,4874.787,4811.107,4734.675,707067328,12071859200
2009-08-11,4831.957,4868.468,4847.583,4786.897,586428352,9813726208
2009-08-12,4842.121,4842.121,4613.735,4589.977,647960832,10813350912
2009-08-13,4618.714,4655.271,4610.545,4522.772,556410432,9204338688
2009-08-14,4616.397,4620.8859999999995,4433.959,4433.959,621800000,9922121728
2009-08-17,4373.543,4374.8240000000005,4125.019,4123.329000000001,593569472,9096498176
2009-08-18,4094.887,4214.765,4196.624,4086.225,439753312,6721567232
2009-08-19,4202.918,4236.357,4021.071,3990.447,513095840,7851061760
2009-08-20,4026.462,4175.352,4170.4529999999995,4024.0959999999995,457676512,6822979584
2009-08-21,4174.335999999999,4281.460999999999,4276.452,4143.089,552315904,8512293888
2009-08-24,4291.8279999999995,4394.055,4384.152,4262.32,591810240,9524761600
2009-08-25,4365.141,4365.141,4313.161,4212.646,688378880,10801188864
2009-08-26,4299.145,4480.85,4442.278,4285.8009999999995,607243136,9902398464
2009-08-27,4431.76,4538.326,4480.769,4414.697,673061120,10748587008
2009-08-28,4471.0109999999995,4477.9490000000005,4361.227,4335.92,520864864,8489768960
2009-08-31,4310.128,4310.128,4076.5190000000002,4070.123,529499968,8384899072
2009-09-01,4045.2209999999995,4142.437,4063.2529999999997,4010.022,405380256,6172754944
2009-09-02,4043.573,4102.1359999999995,4071.175,4013.115,335939008,5174415360
2009-09-03,4078.325,4269.637,4262.967000000001,4078.325,496646528,7651811840
2009-09-04,4273.349,4344.0470000000005,4319.179,4254.08,526902400,8257355264
2009-09-07,4353.7609999999995,4467.538,4413.937,4353.7609999999995,664164736,10676034560
2009-09-08,4418.788,4508.639,4505.156,4374.191,630868992,10509767680
2009-09-09,4519.9490000000005,4550.984,4544.308,4475.213,649836032,11688282112
2009-09-10,4521.661,4551.959,4495.856,4475.5,500807936,8799865856
2009-09-11,4480.094,4598.535,4583.03,4479.575,542548800,9852320768
2009-09-14,4591.746,4685.95,4667.73,4587.545,714922304,13168210944
2009-09-15,4674.217000000001,4751.235,4727.3279999999995,4661.465,751260672,13246248960
2009-09-16,4724.633,4765.205,4726.99,4646.709,788425664,13852793856
2009-09-17,4738.809,4869.089,4850.146,4738.809,922757952,15894645760
2009-09-18,4862.655,4887.67,4698.32,4654.932,987936640,17117515776
2009-09-21,4651.304,4800.130999999999,4796.985,4599.0470000000005,750316224,12892261376
2009-09-22,4786.479,4861.959,4729.458,4722.58,674947520,12249371648
2009-09-23,4718.127,4760.852,4570.436,4549.47,574816832,10060647424
2009-09-24,4542.939,4592.952,4520.799,4421.621,495236576,8269206528
2009-09-25,4501.01,4562.529,4503.670999999999,4477.08,362161824,5906667008
2009-09-28,4517.995,4605.133,4450.572,4438.418,420412064,7276726784
2009-09-29,4450.194,4469.404,4385.829000000001,4319.233,393819296,6432439808
2009-09-30,4410.282999999999,4479.97,4436.645,4410.282999999999,338579040,5821077504
2009-10-09,4520.643,4666.99,4663.348,4520.643,438963008,7897216512
2009-10-12,4682.362,4701.097,4655.379,4621.818,472609728,8340362752
2009-10-13,4639.887,4703.417,4703.417,4626.873,401536800,7013223936
2009-10-14,4721.167,4765.004,4692.302,4677.376,549981504,9580620800
2009-10-15,4721.159000000001,4741.098,4679.7570000000005,4659.479,443096128,7631853568
2009-10-16,4687.775,4708.626,4685.353,4618.437,472816192,7958470656
2009-10-19,4689.653,4784.273,4784.237,4680.566,573855808,10001134592
2009-10-20,4811.599,4850.904,4850.904,4806.879,769588800,13114809344
2009-10-21,4844.37,4856.581,4783.927,4783.927,658986048,10927996928
2009-10-22,4771.876,4810.373,4778.784000000001,4745.23,565508672,9059919872
2009-10-23,4787.973,4871.527,4845.753,4787.973,725343680,12032563200
2009-10-26,4866.528,4888.621,4881.149,4833.287,725061888,12789348352
2009-10-27,4850.478,4854.06,4760.255999999999,4760.255999999999,763009472,13799140352
